Model,scenario,region,riverBasin,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Cropland,Mha,2.233248225,2.52756123,2.648632279,2.792407409,2.977716323,3.141223004,3.246269442,3.35575255,3.453033943,3.69707001,3.930051449
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Forest|Managed,Mha,0.502515,0.495991,0.524083,0.548863,0.570851,0.592011,0.609541,0.624683,0.637291,0.64469,0.649084
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Forest|Total,Mha,0.502515,0.495991,0.524083,0.548863,0.570851,0.592011,0.609541,0.624683,0.637291,0.64469,0.649084
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Forest|Unmanaged,Mha,0,0,0,0,0,0,0,0,0,0,0
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Grassland,Mha,7.603231615,7.54662294,7.50214057,7.451778157,7.388635279,7.329522498,7.285429973,7.239447477,7.196305106,7.112942393,7.031889894
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|OtherArable,Mha,0.498188341,0.32956915,0.321583681,0.312690196,0.30197163,0.292849129,0.286868733,0.280832349,0.275499999,0.26412951,0.25389008
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|OtherNotArable,Mha,0.0372339,0.045083,0.045083,0.045083,0.045083,0.045083,0.045083,0.045083,0.045083,0.045083,0.045083
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Pasture|Managed,Mha,0.144431653,0.138307,0.161249343,0.185416191,0.216497748,0.251563462,0.291075642,0.334192547,0.380547226,0.426776599,0.474134493
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Pasture|Total,Mha,7.610062628,7.61117906,7.529226013,7.43663753,7.324143001,7.227313216,7.169430812,7.112073399,7.064954202,6.935899008,6.816692948
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Pasture|Unmanaged,Mha,7.465630974,7.47287206,7.367976671,7.251221339,7.107645253,6.975749755,6.87835517,6.777880852,6.684406976,6.509122409,6.342558455
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Shrubland,Mha,2.575233,2.502633,2.487883,2.471183,2.450243,2.430643,2.416023,2.400773,2.386473,2.358823,2.331943
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandCover|Total,Mha,21.05971271,21.05863938,21.05863154,21.05864229,21.05864323,21.05864485,21.05864596,21.05864477,21.05864025,21.05863692,21.05863437
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|Corn,Mha,0.828544881,0.88537202,0.886393429,0.878179725,0.858744685,0.825778617,0.795622517,0.769999857,0.745982946,0.768406151,0.790326473
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|EnergyCrops,Mha,0,0,0.088455676,0.166338204,0.273054142,0.380313396,0.419428437,0.458366138,0.495262311,0.525697427,0.555210826
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|OtherCrops,Mha,1.107342062,1.31615126,1.344341814,1.411978388,1.507343094,1.576509304,1.653480391,1.733053858,1.803541937,1.983551257,2.154935553
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|OtherGrains,Mha,0.130979114,0.15172158,0.154601047,0.159700507,0.161945986,0.176131703,0.188918125,0.199870544,0.20889919,0.21252734,0.215607054
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|OtherOilCrops,Mha,0.06891822,0.06856797,0.06814893,0.067450562,0.067227808,0.070889007,0.074797228,0.078659923,0.082142694,0.087500133,0.092761787
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|Rice,Mha,0.00913424,0.0116622,0.010178746,0.00986014,0.009427599,0.008891836,0.008444397,0.0080616,0.007730405,0.007919895,0.008092934
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|Soybean,Mha,9.49E-04,0.00102372,7.94E-04,7.67E-04,7.54E-04,6.72E-04,6.14E-04,5.70E-04,5.34E-04,5.72E-04,6.10E-04
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|SugarCrops,Mha,0.02852748,0.03294182,0.034769152,0.03620447,0.037403875,0.038173365,0.039052658,0.039748846,0.040291529,0.042298648,0.044150363
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|Total,Mha,2.233248225,2.52756123,2.648632279,2.792407409,2.977716323,3.141223004,3.246269442,3.35575255,3.453033943,3.69707001,3.930051449
GCAM,CORN1BG,Africa_Eastern,AfrCstE,LandUse|Crops|Wheat,Mha,0.05885342,0.06012066,0.060949343,0.061928129,0.061814975,0.063864181,0.065911385,0.067421772,0.068649152,0.068596698,0.068356044
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Cropland,Mha,0.465502656,0.45121384,0.534011289,0.628920175,0.728873366,0.810264047,0.873382464,0.93189042,0.984767546,1.042305588,1.097986207
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Forest|Managed,Mha,0.0252703,0.020913,0.0220885,0.0231448,0.0240847,0.0249695,0.0256785,0.0262774,0.0267457,0.0271322,0.0273771
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Forest|Total,Mha,0.0252703,0.020913,0.0220885,0.0231448,0.0240847,0.0249695,0.0256785,0.0262774,0.0267457,0.0271322,0.0273771
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Forest|Unmanaged,Mha,0,0,0,0,0,0,0,0,0,0,0
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Grassland,Mha,2.845783,2.82265,2.818504,2.813961,2.808226,2.802068,2.795604,2.788649,2.781346,2.773231,2.76487
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|OtherArable,Mha,0.367946,0.448346,0.43285,0.416599,0.400389,0.387351,0.376878,0.367076,0.358017,0.348422,0.339205
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|OtherNotArable,Mha,10.6922044,10.618284,10.618284,10.618284,10.618284,10.618284,10.618284,10.618284,10.618284,10.618284,10.618284
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Pasture|Managed,Mha,0.63526,0.609601,0.712577,0.821919,0.964149,1.12382,1.29789,1.48696,1.68697,1.90736,2.13349
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Pasture|Total,Mha,33.47166,33.547001,33.514077,33.473319,33.437849,33.4214,33.42348,33.43384,33.45219,33.47346,33.49847
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Pasture|Unmanaged,Mha,32.8364,32.9374,32.8015,32.6514,32.4737,32.29758,32.12559,31.94688,31.76522,31.5661,31.36498
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Shrubland,Mha,21.43176,21.38826,21.35685,21.32242,21.27897,21.2323,21.18333,21.13063,21.07529,21.0138,20.95044
GCAM,CORN1BG,Africa_Eastern,AfrCstNE,LandCover|Total,Mha,69.30012636,69.29666784,69.29666479,69.29664798,69.29667607,69.29663655,69.29663696,69.29664682,69.29664025,69.29663479,69.29663231
